filepath,thesis_group,template,timeframe,description,params
thesis_05_cross_market_correlation/T05-D_r5_60min_1155.py,05,T05-D_r5,60min,"DJI Consensus (roc=5)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=5;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-D_r8_15min_1156.py,05,T05-D_r8,15min,"DJI Consensus (roc=8)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=8;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-D_r8_30min_1157.py,05,T05-D_r8,30min,"DJI Consensus (roc=8)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-D_r8_60min_1158.py,05,T05-D_r8,60min,"DJI Consensus (roc=8)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;return_window=14;roc_window=8;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-E_c10_15min_1159.py,05,T05-E_c10,15min,"Rolling Correl Filter (correl=10)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;correl_window=10;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-E_c10_30min_1160.py,05,T05-E_c10,30min,"Rolling Correl Filter (correl=10)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;correl_window=10;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-E_c10_60min_1161.py,05,T05-E_c10,60min,"Rolling Correl Filter (correl=10)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;correl_window=10;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-E_c20_15min_1162.py,05,T05-E_c20,15min,"Rolling Correl Filter (correl=20)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;correl_window=20;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_05_cross_market_correlation/T05-E_c20_30min_1163.py,05,T05-E_c20,30min,"Rolling Correl Filter (correl=20)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;correl_window=20;ema_window=20;max_cycle=50;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_05_cross_market_correlation/T05-E_c20_60min_1164.py,05,T05-E_c20,60min,"Rolling Correl Filter (correl=20)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;correl_window=20;ema_window=30;max_cycle=50;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_05_cross_market_correlation/T05-E_c34_15min_1165.py,05,T05-E_c34,15min,"Rolling Correl Filter (correl=34)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;correl_window=34;ema_window=13;max_cycle=50;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
