file,filename,universe,mode,status,n_fields,n_pv_fields,n_quarterly,n_annual,field_valid,all_fields_valid,has_universe_gate,has_financial_gate,has_liquidity_gate,has_pos_denominator,has_positions_api,n_feat_ops,n_op_ops,feat_ops,op_ops,train_sharpe,test_sharpe,train_cagr,test_cagr,cagr,sharpe,profit_factor,max_drawdown
vn_large_cap/cross_sectional/VnLargeCsNetPayoutPersistence.py,VnLargeCsNetPayoutPersistence.py,VN-LARGE-CAP,cross_sectional,SIMULATED,4,1,0,4,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",0.7471988661213411,0.13282125219527066,0.10650671127634825,0.01054628840223959,0.08911882263637128,0.7393906974674895,1.1421619260757898,-0.17598089778004822
vn_large_cap/cross_sectional/VnLargeCsNetPayoutPersistenceNonFin.py,VnLargeCsNetPayoutPersistenceNonFin.py,VN-LARGE-CAP,cross_sectional,SIMULATED,9,1,0,9,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",0.09799738554746147,0.40142224217405353,0.016302850125396784,0.044270173919914946,0.03932870275895661,0.2719727588252823,1.0580972079664641,-0.26011334496030825
vn_large_cap/cross_sectional/VnLargeCsOcfYield.py,VnLargeCsOcfYield.py,VN-LARGE-CAP,cross_sectional,SIMULATED,2,1,1,1,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",0.05912603321625679,0.5001561231495553,0.009577247392165145,0.056055932572763645,0.028263375438005944,0.20295639377271416,1.0458029403819082,-0.3375120987388912
vn_large_cap/cross_sectional/VnLargeCsPersistentCashRoa.py,VnLargeCsPersistentCashRoa.py,VN-LARGE-CAP,cross_sectional,SIMULATED,2,0,0,2,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",-0.3677285172968828,-0.601326590589383,-0.0393911690447607,-0.047944844340059856,-0.02134633665669161,-0.21593605119150347,0.9747820686220282,-0.2461362305715885
vn_large_cap/cross_sectional/VnLargeCsPreWcCashStrength.py,VnLargeCsPreWcCashStrength.py,VN-LARGE-CAP,cross_sectional,SIMULATED,3,0,1,2,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",0.9871939516049887,0.8173731617666199,0.13692801356839124,0.0679188900244041,0.10753733374120711,0.9105575015641711,1.1810282279551965,-0.13046923639375707
vn_large_cap/cross_sectional/VnLargeCsPreWcMagnitude.py,VnLargeCsPreWcMagnitude.py,VN-LARGE-CAP,cross_sectional,SIMULATED,3,0,1,2,yes,True,0,0,0,1,1,1,3,safe_divide_panel,"portfolio_weights_panel,winsorize_cs_panel,zscore_cs_panel",0.6025529206725713,0.7120109955720325,0.08289405813129158,0.07534747025645872,0.0781511732324478,0.62949579348117,1.1211274978675818,-0.15429873273915706
vn_large_cap/cross_sectional/VnLargeCsPreWcRanked.py,VnLargeCsPreWcRanked.py,VN-LARGE-CAP,cross_sectional,SIMULATED,3,0,1,2,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,rank_cs_panel",0.9871939516049887,0.8173731617666199,0.13692801356839124,0.0679188900244041,0.10753733374120711,0.9105575015641711,1.1810282279551965,-0.13046923639375707
vn_large_cap/cross_sectional/VnLargeCsPreWcRankedWinsorized.py,VnLargeCsPreWcRankedWinsorized.py,VN-LARGE-CAP,cross_sectional,SIMULATED,3,0,1,2,yes,True,0,0,0,1,1,1,3,safe_divide_panel,"portfolio_weights_panel,rank_cs_panel,winsorize_cs_panel",0.9871939516049887,0.8173731617666199,0.13692801356839124,0.0679188900244041,0.10753733374120711,0.9105575015641711,1.1810282279551965,-0.13046923639375707
vn_large_cap/cross_sectional/VnLargeCsPreWcWinsorized.py,VnLargeCsPreWcWinsorized.py,VN-LARGE-CAP,cross_sectional,SIMULATED,3,0,1,2,yes,True,0,0,0,1,1,1,3,safe_divide_panel,"portfolio_weights_panel,winsorize_cs_panel,zscore_cs_panel",0.9871939516049887,0.8173731617666199,0.13692801356839124,0.0679188900244041,0.10753733374120711,0.9105575015641711,1.1810282279551965,-0.13046923639375707
vn_large_cap/cross_sectional/VnLargeCsQFinancialNetPayout.py,VnLargeCsQFinancialNetPayout.py,VN-LARGE-CAP,cross_sectional,SIMULATED,9,1,9,0,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",-0.3125974061979778,-0.42103355930906844,-0.0828701522930082,-0.04506327187592618,-0.0872060811003944,-0.3687681363870424,0.9388969788721699,-0.5007405835992662
vn_large_cap/cross_sectional/VnLargeCsQNetPayoutPersistence.py,VnLargeCsQNetPayoutPersistence.py,VN-LARGE-CAP,cross_sectional,SIMULATED,4,1,4,0,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",0.3136409674462567,-0.14542475418827477,0.0570803219734497,-0.01353187821859514,0.023574043531846556,0.148477884454657,1.0417997919051802,-0.2957477429962794
vn_large_cap/cross_sectional/VnLargeCsQRoaQuality.py,VnLargeCsQRoaQuality.py,VN-LARGE-CAP,cross_sectional,SIMULATED,2,1,2,0,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",0.09881446566523734,-0.7536968464466587,0.010252861647345402,-0.04835146023743564,-0.005490938962751102,-0.05841959540421738,0.9973365248112186,-0.23975100267761063
vn_large_cap/cross_sectional/VnLargeCsQRoeQuality.py,VnLargeCsQRoeQuality.py,VN-LARGE-CAP,cross_sectional,SIMULATED,2,1,2,0,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",0.026003506241236884,-0.037932684523707766,0.0025604010404629562,-0.002599761291435021,-0.016592562778004805,-0.17885831603843344,0.9791582306019685,-0.2769892245001703
vn_large_cap/cross_sectional/VnLargeCsResidualFcfYield.py,VnLargeCsResidualFcfYield.py,VN-LARGE-CAP,cross_sectional,SIMULATED,3,1,1,2,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",-0.055813626184341006,0.7763071072175876,-0.01080607043923254,0.08894327037621874,0.025578673687044473,0.1628336501886563,1.0410753634596004,-0.44710313869674234
vn_large_cap/cross_sectional/VnLargeCsResidualTangibleBook.py,VnLargeCsResidualTangibleBook.py,VN-LARGE-CAP,cross_sectional,SIMULATED,5,1,5,0,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,rank_cs_panel",-0.462264646504521,-0.4631987492399031,-0.07779035749674301,-0.05008048583726232,-0.0650545639100567,-0.4341014414777797,0.9393880707285253,-0.40628980521264324
vn_large_cap/cross_sectional/VnLargeCsShareholderYield.py,VnLargeCsShareholderYield.py,VN-LARGE-CAP,cross_sectional,SIMULATED,6,1,0,6,yes,True,0,0,0,1,1,1,3,safe_divide_panel,"portfolio_weights_panel,rank_cs_panel,zscore_cs_panel",0.7204499161039497,0.050912919326436386,0.08975166366243248,0.003686585150582955,0.05248227003109296,0.4821225248096575,1.096951459766949,-0.13907765096887836
vn_large_cap/cross_sectional/VnLargeCsShortTermRefinance.py,VnLargeCsShortTermRefinance.py,VN-LARGE-CAP,cross_sectional,SIMULATED,4,0,4,0,yes,True,0,0,0,1,1,1,2,safe_divide_panel,"portfolio_weights_panel,zscore_cs_panel",0.27103201780125386,-0.3741976654313603,0.032544746507277456,-0.031800288886707384,0.006698514332280414,0.060377197166433985,1.019176722818444,-0.1907432335129038
vn_large_cap/cross_sectional/VnLargeCsStableCashProfitability.py,VnLargeCsStableCashProfitability.py,VN-LARGE-CAP,cross_sectional,SIMULATED,2,0,0,2,yes,True,0,0,0,1,1,2,2,"ema_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",-0.3677285172968828,-0.601326590589383,-0.0393911690447607,-0.047944844340059856,-0.02134633665669161,-0.21593605119150347,0.9747820686220282,-0.2461362305715885
vn_large_cap/cross_sectional/VnLargeCsValueMomentum.py,VnLargeCsValueMomentum.py,VN-LARGE-CAP,cross_sectional,SIMULATED,1,1,1,0,yes,True,0,0,0,1,1,2,2,"rolling_zscore_panel,safe_divide_panel","portfolio_weights_panel,zscore_cs_panel",1.4012974034881631,-1.1419036416104578,0.2536924240195948,-0.10904762826089875,0.08465252949524582,0.47449692026996065,1.115867166506923,-0.24542705013830446
