filename,universe,train_sharpe,pos_years,n_years,sharpe_2022,sharpe_2024,gate
VnSmallCsValueTrendP02.py,VN-SMALL-CAP,2.672508984530267,5,5,2.4650285725687278,1.7347917092530563,PASS
VnSmallCsValueTrendP03.py,VN-SMALL-CAP,2.620398058643771,5,5,2.3444081963535917,1.6464541527457515,PASS
VnSmallCsValueTrendP04.py,VN-SMALL-CAP,2.55691505337774,5,5,2.2257420459353887,1.5514415429092487,PASS
VnSmallCsValueTrendP05.py,VN-SMALL-CAP,2.4946423444543306,5,5,2.1236750785740885,1.457577449822237,PASS
VnSmallCsValueTrendP06.py,VN-SMALL-CAP,2.438466532170842,5,5,2.037461959980187,1.368566613734226,PASS
VnSmallCsValueTrendP07.py,VN-SMALL-CAP,2.390710820450822,5,5,1.9623328937869184,1.2847023550984165,PASS
VnSmallCsValueTrendP08.py,VN-SMALL-CAP,2.3518325553683006,5,5,1.8959086467011974,1.2039105576549647,PASS
VnSmallCsValueTrendP09.py,VN-SMALL-CAP,2.324859278861083,5,5,1.8413817817143787,1.1268871327968784,PASS
VnSmallCsLeanWorkingCapital.py,VN-SMALL-CAP,2.3218673685527493,5,5,1.967047898620983,0.7201309367036616,PASS
VnSmallCsValueTrendP10.py,VN-SMALL-CAP,2.3067907334438185,5,5,1.7969825368853556,1.0577237871299565,PASS
VnSmallCsRoeQuality.py,VN-SMALL-CAP,2.2987887794857147,5,5,1.7632005917176656,0.9955120908019708,PASS
VnSmallCsValueTrendP11.py,VN-SMALL-CAP,2.2987887794857147,5,5,1.7632005917176656,0.9955120908019708,PASS
